Date,Min_T_C,Max_T_C,Rainfall_mm,T_3pm_C,RH_3pm_percent,
30/05/2020,7.7,20.9,0,20.1,61,
31/05/2020,8.6,21.9,0.2,21.1,60,
1/06/2020,7.5,23.9,0,20.9,32,
2/06/2020,4.9,17.6,0,16.3,44,
3/06/2020,3.2,19.6,0,19.5,36,
4/06/2020,8.1,17.5,0,16.8,45,
5/06/2020,3.2,17.9,0,17.6,53,
6/06/2020,3.3,18.8,0.2,17.9,57,
7/06/2020,4.1,18.6,0,17,64,
8/06/2020,6.8,18.1,0.4,17.7,52,
9/06/2020,9.8,19.3,1,17.9,71,
10/06/2020,12.9,18.6,0.8,16.7,93,
11/06/2020,9.7,21.7,0.2,21.2,50,
12/06/2020,11.6,16.6,0,14.7,97,
13/06/2020,10.3,20,0.4,19.3,73,
14/06/2020,11.5,21.5,4.2,19.5,39,
15/06/2020,5,20.2,0,19.9,48,
16/06/2020,5.4,22.3,0,21.2,44,
17/06/2020,5.1,17.2,0.2,14.3,95,
18/06/2020,9.4,19.1,1,18.4,48,
19/06/2020,6.3,19.6,0.2,19.5,64,
20/06/2020,5.7,19,0,18.1,74,
21/06/2020,7.4,18.9,6.8,18.3,72,
22/06/2020,5.5,16.5,0.2,13.6,71,
23/06/2020,1.7,17.6,0.4,15.3,50,
24/06/2020,2.5,19.7,0,18,50,
25/06/2020,4.6,19.7,0,18.8,44,
26/06/2020,2.7,19.1,0,18.7,38,
27/06/2020,6.4,16.5,0,15.6,62,
28/06/2020,7.6,17.4,0,16,51,
29/06/2020,7.5,18.6,0,16,67,
30/06/2020,5.4,17.5,0.2,17.1,72,
1/07/2020,4.1,20.7,0,20.1,58,
2/07/2020,4.9,24.7,0.2,22.5,45,
3/07/2020,6.5,19,0,17.4,35,
4/07/2020,6,17.8,0.2,17.3,29,
5/07/2020,1.8,19.3,0,18.3,38,
6/07/2020,3.3,18.2,0,17.9,49,
7/07/2020,6.1,18.3,0,16.3,54,
8/07/2020,10,15.9,1,15.1,73,
9/07/2020,4.1,18.5,0.2,18.1,66,
10/07/2020,6.5,15.6,0,15.4,87,
11/07/2020,9.3,14.8,5.2,14.6,94,
12/07/2020,8.3,13.9,1.4,11.8,90,
13/07/2020,4.5,17.4,0.4,16.9,59,
14/07/2020,8.9,17,8.6,16.2,61,
15/07/2020,11.4,17.1,0,16.2,50,
16/07/2020,6.5,18.5,0,16.7,48,
17/07/2020,9.3,18.3,0,17.3,56,
18/07/2020,5.2,18.9,0,17.4,51,
19/07/2020,2.5,20.9,0,19.1,42,
20/07/2020,6.4,19.3,0,18.9,22,
21/07/2020,1.9,17.7,0,16.8,36,
22/07/2020,2.8,18.7,0,17.8,48,
23/07/2020,1.8,19.3,0,18.9,49,
24/07/2020,3.3,19,0.2,18.4,60,
25/07/2020,5.2,19.2,0.2,17.3,70,
26/07/2020,7.7,16.8,6.2,13.5,98,
27/07/2020,12.6,17.1,70,15.4,76,
28/07/2020,12.7,20.3,7,19.1,62,
29/07/2020,7.3,20.8,0,19.8,48,
30/07/2020,5.7,19.1,0.2,18.9,45,
31/07/2020,8.3,17.9,0,17.4,40,
